序号,简体,繁体,康熙笔画,字义五行
1093,荠,薺,20,木
1094,荩,藎,20,木
1095,萨,薩,20,木
1096,蓝,藍,20,木
1097,薯,薯,20,木
1098,薰,薰,20,木
1099,薷,薷,20,木
1100,薹,薹,20,木
1101,藁,藁,20,木
1102,藉,藉,20,木
1103,藏,藏,20,木
1104,藐,藐,20,木
1105,蘖,櫱,20,木
1106,蛴,蠐,20,木
1107,蠖,蠖,20,木
1108,觉,覺,20,木
1109,警,警,20,木
1110,议,議,20,木
1111,遽,遽,20,木
1112,邀,邀,20,木
1113,郐,鄶,20,木
1114,醵,醵,20,木
1115,阚,闞,20,木
1116,馑,饉,20,木
1117,骞,騫,20,木
1118,鲫,鯽,20,木
1119,鳅,鰍,20,木
1120,鳇,鰉,20,木
1121,鹗,鶚,20,木
1122,龃,齟,20,木
1123,党,黨,20,火
1124,宝,寶,20,火
1125,懒,懶,20,火
1126,拢,攏,20,火
1127,曦,曦,20,火
1128,炉,爐,20,火
1129,獭,獺,20,火
1130,矍,矍,20,火
1131,窦,竇,20,火
1132,糯,糯,20,火
1133,罗,羅,20,火
1134,耀,耀,20,火
1135,胧,朧,20,火
1136,腾,騰,20,火
1137,褴,襤,20,火
1138,赡,贍,20,火
1139,赢,贏,20,火
1140,趸,躉,20,火
1141,躅,躅,20,火
1142,醴,醴,20,火
1143,阐,闡,20,火
1144,飘,飄,20,火
1145,骘,騭,20,火
1146,骝,騮,20,火
1147,鲽,鰈,20,火
1148,黧,黧,20,火
1149,龄,齡,20,火
1150,龆,齠,20,火
1151,龇,齜,20,火
